"","Order","Latitude","Biome","Elevation","pH","Clay_silt_c","NDVI_2001_2020_Normalized","Plant_cover_v3","ORC","ORC_stock","POM_C_g_kg","MAOM_C_g_kg","Aromatic_Prop","Alkanes_Prop","Polysaccharide_Prop","Amide_Prop","Soil_respiration","Seasonality","MAXT...19","Aridity...20","Human_influence","Extreme_events","Fire","Aridity_2016_2019...24","MAXT_mean_2016_2019...25","Extreme_events_2016_2019","Population_density_2016_2019...27","Fire_2016_2019","Seasonality_2016_2019","MAXT_anomaly","Seasonality_anomaly","MINP_anomaly","Human_influence1","Extreme_events1","Fire1","Aridity...36","MAXT...37","PSEA","MDR","TSEA","SPEI_1_Extreme_dry_events","SPEI_1_extreme_wet_events","Heatwave_day","Frost","nfertilize","nmanure_gl","hii_v2geo","fire_n","Aridity_2016_2019...49","MAXT_mean_2016_2019...50","TSEA_2016_2019","MDR_2016_2019","PSEA_2016_2019","SPEI_1_Extreme_dry_events_2016_2019","SPEI_1_extreme_wet_events_2016_2019","Frost_2016_2019","Heatwave_day_2016_2019","Fire_Count_2016_2019","Population_density_2016_2019...59","MAXT_difference","PSEA_difference","MDR_difference","TSEA_difference","MINP","MINP_2016_2019","MINP_difference"
"1217",1419,-4.37532,"Arid",185,5.21,56.66666667,0.241535652,26.55555556,6.490860324,0.882757004,2.094764557,4.291228344,18.92595221,8.781041002,12.35256345,6.461297554,0.19337964,0.521383461,0.769230769,0.924070267,0.103664834,0.205762961,0,0.992995989,0.696731715,0.154377158,0.001252262,0,0.305409501,0.387746753,0.247567786,0.059224542,0.103664834,0.205762961,0,-0.2126,32,182.3,11.6583,153.511,1,40,9.857612267,0,3.332,10.674,13,0,-0.02579,41.835,419.087989,3.838333333,186.32458,3,4,0,10,0,6.52272,9.835,4.02458,-7.819966667,265.576989,0,2.8,-2.8
"1218",1420,-4.36613,"Arid",202,5.98,58.88888889,0.446165,55.66666667,23.3949501,3.181713213,5.510866335,16.62295628,19.13714636,10.76662317,10.62307801,7.878604962,0.304648121,0.527302013,0.764423077,0.927605238,0.103664834,0.260658268,0,0.993017997,0.678565762,0.260029641,0.001252262,0,0.301617605,0.368415669,0.242121125,0.059224542,0.103664834,0.260658268,0,-0.2028,31.8,186.213,11.6083,151.644,1,40,10.0750268,0,3.332,10.674,13,0,-0.02571,40.69,425.0586113,3.463333333,188.75649,3,4,0,11.14081996,0,6.52272,8.89,2.54349,-8.144966667,273.4146113,0,2.8,-2.8
"1219",1421,-4.35728,"Arid",224,5.79,68.88888889,0.450956522,79.33333333,18.81749594,2.559179447,3.605670893,13.48199532,19.75047372,11.12177122,11.15587913,7.412785479,0.304871447,0.526703622,0.762019231,0.928182376,0.103664834,0.252504877,0,0.993017997,0.664921466,0.23841966,0.001252262,0,0.306293723,0.352868978,0.245545428,0.059224542,0.103664834,0.252504877,0,-0.2012,31.7,186.702,11.5667,148.406,1,40,10.04273504,0,3.332,10.674,13,0,-0.02571,39.83,420.2403534,3.7275,188.75649,3,4,0,10.90747857,0,6.52272,8.13,2.05449,-7.8392,271.8343534,0,2.8,-2.8
"1220",1422,-3.3434,"Tropical",1187,7.75,58.55555556,0.287228597,61.88888889,8.590626049,1.048056378,0.899803891,7.47584691,20.78755429,9.684524362,13.32346397,6.810546116,0.130200467,0.332863772,0.682692308,0.786134257,0.169639961,0.275872809,0,0.977375889,0.798587974,0.187967361,0.005318749,0,0.319364007,0.592717603,0.346619149,0.032097713,0.169639961,0.275872809,0,-0.595,28.4,96.6416,11.5917,20.2774,3,54,10,0,5.151,27.414,18,0,-0.08257,48.255,620.7400916,8.222916667,96.42881,0,8,0,10.24430456,0,27.70403,19.855,-0.21279,-3.368783333,600.4626916,5,12.575,-7.575
"1221",1423,-3.35204,"Tropical",1265,7.23,58.77777778,0.323993123,63,16.53444945,2.033737282,1.779547013,13.18503562,19.42640425,10.43544709,13.4103728,7.484699172,0.207294648,0.32866551,0.685096154,0.769433323,0.169639961,0.287953739,0,0.977375889,0.783357132,0.185468143,0.005256546,0,0.306872299,0.57103406,0.341110799,0.037778725,0.169639961,0.287953739,0,-0.6413,28.5,94.2053,11.6083,20.3892,3,54,10.04784689,0,5.151,27.414,18,0,-0.08257,47.295,618.892679,7.635416667,96.42881,0,8,0,10.21731837,0,27.38003,18.795,2.22351,-3.972883333,598.503479,6,12.575,-6.575
"1222",1424,-3.36361,"Tropical",1399,6.48,69.44444444,0.386630711,38.33333333,22.67794036,2.789386664,2.042628949,18.01442415,19.94308682,10.26130423,11.23410019,8.229707603,0.236179298,0.322756405,0.627403846,0.835804206,0.191145338,0.252829262,0,0.977375889,0.68570522,0.194727904,0.005318749,0,0.234366726,0.494221131,0.294433317,0.003976708,0.191145338,0.252829262,0,-0.4573,26.1,98.4932,10.875,27.4242,3,54,9.908735332,0,5.151,27.414,22,0,-0.08257,41.14,503.3500721,5.067083333,96.42881,0,8,0,10.3173039,0,27.70403,15.04,-2.06439,-5.807916667,475.9258721,1,13.525,-12.525
"1223",1425,-3.40324,"Tropical",1747,8.5,50.33333333,0.303186502,92.88888889,8.432392675,1.037184299,1.583850579,6.051453922,17.92293373,8.558461025,11.51512405,7.105222962,0.130938322,0.309591383,0.627403846,0.865382534,0.169639961,0.270014539,0,0.979067746,0.77574171,0.203944678,0.003539838,0,0.299022713,0.610309911,0.34200019,0.049424798,0.169639961,0.270014539,0,-0.3753,26.1,82.6484,11.7083,22.9088,3,54,9.976798144,0,5.151,27.414,18,0,-0.07642,46.815,590.6270828,8.32625,82.22411,0,8,0,10.41682528,0,18.43813,20.715,-0.42429,-3.38205,567.7182828,5,9.525,-4.525
"1224",1426,-3.4077,"Arid",1246,7.17,31.44444444,0.22542087,60.22222222,5.411816762,0.665653462,1.002113644,4.503999387,17.92355383,8.287925611,9.135277187,8.394613432,0.153705562,0.315316608,0.692307692,0.806045522,0.169639961,0.299862494,0,0.979067746,0.792083135,0.183718527,0.003539838,0,0.296127841,0.576148103,0.336035424,0.083510865,0.169639961,0.299862494,0,-0.5398,28.8,80.3446,12.2083,20.7939,3,54,10.09501188,0,5.151,27.414,18,0,-0.07642,47.845,570.3897284,8.349166667,82.22411,0,8,0,10.19842627,0,18.43813,19.045,1.87951,-3.859133333,549.5958284,11,9.525,1.475
"1225",1427,-3.415,"Tropical",1635,7.75,56.55555556,0.301760652,76.55555556,8.167987101,1.012830401,0.834966731,7.091002179,19.67109339,8.865629125,8.958731784,7.603944994,0.135628945,0.317588725,0.644230769,0.869458572,0.169639961,0.270081721,0,0.978842165,0.757258448,0.172770761,0.003539838,0,0.273524904,0.572159149,0.318744581,0.046016191,0.169639961,0.270081721,0,-0.364,26.8,85.7998,11.7333,30.7729,3,54,9.97706422,0,5.151,27.414,18,0,-0.07724,45.65,547.5075451,7.449583333,82.11348,0,8,0,10.0802139,0,18.43813,18.85,-3.68632,-4.283716667,516.7346451,4,9.125,-5.125
"1226",1428,47.64005,"Continental",87,5.74,65,0.539476522,94.33333333,65.81133736,9.081964556,24.1883911,34.88001084,16.84168185,13.45184531,6.03944783,9.728115389,0.381353166,0.354831666,0.675480769,0.813836886,0.256089467,0.356918687,0,0.982126842,0.703474536,0.211153849,0.001098646,0,0.375085482,0.476219699,0.364003294,0.212185769,0.256089467,0.356918687,0,-0.5182,28.1,32.9859,10.3917,856.469,56,14,10.00800641,33.25,20.264,29.212,22,0,-0.0653,42.26,1177.473701,9.14375,50.82251,3,6,14.44377007,9.934754571,0,5.72257,14.16,17.83661,-1.24795,321.004701,27,2.875,24.125
