"year","response","null_model","SSD","mean_squared_deviation","root_mean_squared_deviation","mean_abs_deviation"
"2021","biomass","dominative",4.09765975456754,0.0682943292427924,0.261331837407524,0.218348199562928
"2021","evenness_all","dominative",0.150057788388887,0.00250096313981478,0.0500096304706881,0.0398320099638416
"2021","richness_all","dominative",0.551497322653065,0.00919162204421776,0.0958729474054999,0.0757424616811166
"2021","shannon_all","dominative",0.15387214660128,0.002564535776688,0.050641245805055,0.0404741162216677
"2022","biomass","dominative",28.0020738536343,0.474611421248038,0.688920475271303,0.577109740679416
"2022","evenness_all","dominative",0.732270334350723,0.0122045055725121,0.11047400405757,0.0890197432646567
"2022","richness_all","dominative",2.19128143163694,0.036521357193949,0.191105617902638,0.142719735407177
"2022","shannon_all","dominative",0.685893538417262,0.011431558973621,0.106918468814424,0.0898096529393584
"2023","biomass","multiplicative",8.72491786499586,0.145415297749931,0.381333578051987,0.311189030263229
"2023","evenness_all","dominative",1.34075496120156,0.022345916020026,0.149485504380947,0.123317192726086
"2023","richness_all","additive",5.92301528256427,0.0987169213760712,0.314192490960671,0.263003816722918
"2023","shannon_all","multiplicative",2.69714308843036,0.0449523848071726,0.212019774566366,0.161944072244268
"2024","biomass","dominative",3.55397778026243,0.0592329630043738,0.243378230341939,0.206734808266855
"2024","evenness_all","dominative",3.06326740043066,0.0510544566738443,0.225952332747074,0.180297510462767
"2024","richness_all","additive",6.17349094824259,0.102891515804043,0.320767074064723,0.265428672429509
"2024","shannon_all","dominative",5.71144295605058,0.0951907159341764,0.308529927128919,0.265644483040924
"2025","biomass","dominative",7.41322111355787,0.123553685225964,0.351502041567278,0.261272193710026
"2025","evenness_all","dominative",4.17504699126454,0.0707635083265177,0.266014113021316,0.196393035023513
"2025","richness_all","additive",8.83861887669072,0.147310314611512,0.383810258606401,0.305775322138716
"2025","shannon_all","additive",9.54530396105536,0.159088399350923,0.398858871470753,0.306086969885147
