"year","response","response_label","treatment","ES_mean","ES_2.5","ES_97.5","p_value","p_adj","stars","p_adjust_method"
2021,"richness_all","Plant richness","W",1.01660714285714,-0.0892857142857135,2.07276785714286,0.0740000000000001,0.592,"","BH"
2021,"richness_all","Plant richness","N",-0.0565892857142858,-1.35714285714286,1.33928571428571,0.922,0.922,"","BH"
2021,"richness_all","Plant richness","D",-0.0946607142857142,-0.839285714285714,0.660714285714286,0.768,0.853333333333333,"","BH"
2021,"richness_all","Plant richness","HM",-0.96925,-1.73214285714286,-0.232142857142858,0.008,0.128,"","BH"
2021,"richness_all","Plant richness","MP",-0.230839285714286,-1.42901785714286,1.03571428571429,0.73,0.853333333333333,"","BH"
2021,"richness_all","Plant richness","S",0.269928571428571,-0.482142857142858,1.05357142857143,0.498,0.853333333333333,"","BH"
2021,"richness_all","Plant richness","A",-0.348964285714286,-1.05357142857143,0.339285714285714,0.292,0.821333333333333,"","BH"
2021,"richness_all","Plant richness","I",0.414375,-0.589732142857142,1.50044642857143,0.468,0.853333333333333,"","BH"
2021,"richness_all","Plant richness","AF",0.767660714285714,-0.375,2.23258928571429,0.252,0.821333333333333,"","BH"
2021,"richness_all","Plant richness","SF",0.150392857142857,-0.821875,1.01785714285714,0.764,0.853333333333333,"","BH"
2021,"richness_all","Plant richness","1",0.0971803571428571,-0.510803571428572,0.75,0.8,0.853333333333333,"","BH"
2021,"richness_all","Plant richness","2",0.430571428571428,-0.572619047619047,1.59583333333333,0.488,0.853333333333333,"","BH"
2021,"richness_all","Plant richness","4",-0.439083333333333,-1.25029761904762,0.428869047619048,0.308,0.821333333333333,"","BH"
2021,"richness_all","Plant richness","6",-0.636845238095238,-1.39285714285714,0.154761904761905,0.114,0.608,"","BH"
2021,"richness_all","Plant richness","8",0.1765,-0.666666666666666,1.03601190476191,0.678,0.853333333333333,"","BH"
2021,"richness_all","Plant richness","10",-0.137,-1.09523809523809,0.833928571428571,0.75,0.853333333333333,"","BH"
2021,"biomass","Plant biomass","W",140.501676769643,27.2813287723215,257.261937660714,0.018,0.288,"","BH"
2021,"biomass","Plant biomass","N",54.841441507175,-24.9363852794643,137.691338791205,0.194,0.436,"","BH"
2021,"biomass","Plant biomass","D",50.8181309651786,-35.8895099330357,133.79204559375,0.218,0.436,"","BH"
2021,"biomass","Plant biomass","HM",-13.7226195290714,-119.162883601429,99.3855162508928,0.786,0.898285714285714,"","BH"
2021,"biomass","Plant biomass","MP",58.6546678601786,-72.0417154866071,186.355485767857,0.38,0.6528,"","BH"
2021,"biomass","Plant biomass","S",98.6372103795982,3.42787257589282,194.808340210938,0.044,0.330666666666667,"","BH"
2021,"biomass","Plant biomass","A",36.3708111547036,-72.4664468660714,139.405640394241,0.492,0.706666666666667,"","BH"
2021,"biomass","Plant biomass","I",29.9114509602,-53.5799119375,120.70522210375,0.53,0.706666666666667,"","BH"
2021,"biomass","Plant biomass","AF",83.0651960371857,-19.1137136708928,184.976146055357,0.124,0.330666666666667,"","BH"
2021,"biomass","Plant biomass","SF",70.4084916558482,-18.9415415714286,157.001081935268,0.102,0.330666666666667,"","BH"
2021,"biomass","Plant biomass","1",60.4610748204764,-8.3855434187902,139.568757472973,0.0940000000000001,0.330666666666667,"","BH"
2021,"biomass","Plant biomass","2",22.9773642752381,-67.5333227313988,124.636545561012,0.646,0.795076923076923,"","BH"
2021,"biomass","Plant biomass","4",-1.97454880501189,-84.2824260327381,86.0135594232738,0.962,0.962,"","BH"
2021,"biomass","Plant biomass","6",85.669026915625,-13.9362388080357,187.694422568452,0.108,0.330666666666667,"","BH"
2021,"biomass","Plant biomass","8",8.13855775098215,-83.832801389881,105.089245143601,0.85,0.906666666666667,"","BH"
2021,"biomass","Plant biomass","10",43.5201101338095,-68.0924372708333,145.364069568452,0.408,0.6528,"","BH"
2021,"shannon_all","Shannon diversity","W",0.00461376138347348,-0.0799877503782564,0.0864998029147345,0.902,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","N",0.0110196190222034,-0.0902876324878011,0.100531182259213,0.788,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","D",0.0565903743020005,-0.0492185616019462,0.152998064887284,0.28,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","HM",-0.0798852234856873,-0.15398196491427,-0.00575384837858575,0.038,0.608,"","BH"
2021,"shannon_all","Shannon diversity","MP",-0.0248564657399121,-0.115888591780752,0.0680480606780727,0.594,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","S",-0.00125844735548542,-0.0990779683681065,0.0847914193787105,0.984,0.984,"","BH"
2021,"shannon_all","Shannon diversity","A",-0.0384773678158303,-0.118695210126398,0.0370765147475337,0.342,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","I",-0.0115141098447806,-0.106698482236421,0.0928457933835138,0.804,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","AF",-0.0238744164936907,-0.0926553003300774,0.0393289844564581,0.512,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","SF",0.00460318723522639,-0.0664958051647573,0.0717016045020663,0.88,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","1",-0.0111329078299265,-0.0714290826181636,0.0482499742850576,0.742,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","2",0.0105768311557026,-0.0651616726639318,0.086561126973513,0.804,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","4",-0.0283700418382764,-0.102185991097507,0.0360586427453791,0.43,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","6",-0.0493018267752137,-0.115494205962202,0.0147946223393999,0.15,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","8",0.00581445609777478,-0.0633814415212636,0.0755331992114386,0.864,0.962133333333333,"","BH"
2021,"shannon_all","Shannon diversity","10",-0.0374218056332984,-0.10020653281397,0.0325482308800556,0.286,0.962133333333333,"","BH"
2021,"evenness_all","Plant evenness","W",-0.0151174393107973,-0.0355759410435439,0.00556797850288305,0.14,0.874666666666666,"","BH"
2021,"evenness_all","Plant evenness","N",0.00686801196793171,-0.0212207528488549,0.0407092181572149,0.672,0.94,"","BH"
2021,"evenness_all","Plant evenness","D",0.0228651533227157,-0.00917761193102383,0.052021052186607,0.164,0.874666666666666,"","BH"
2021,"evenness_all","Plant evenness","HM",-0.0121820983431557,-0.038263349842586,0.0128574632432088,0.348,0.94,"","BH"
2021,"evenness_all","Plant evenness","MP",-0.00357169308949998,-0.0317988919374894,0.024339760401906,0.802,0.94,"","BH"
2021,"evenness_all","Plant evenness","S",-0.00536902520378644,-0.0368631033463855,0.0224471192148326,0.75,0.94,"","BH"
2021,"evenness_all","Plant evenness","A",-0.0087241008159899,-0.0394900591421177,0.0207909506848029,0.574,0.94,"","BH"
2021,"evenness_all","Plant evenness","I",-0.0125268748167121,-0.0414478373065215,0.0154852866132796,0.446,0.94,"","BH"
2021,"evenness_all","Plant evenness","AF",-0.02102237040256,-0.0458000803751992,0.00396595992805477,0.11,0.874666666666666,"","BH"
2021,"evenness_all","Plant evenness","SF",-0.000882558177218734,-0.0233208777302148,0.0206887592828583,0.932,0.94,"","BH"
2021,"evenness_all","Plant evenness","1",-0.00505030416224495,-0.0245517896648311,0.0133369651314934,0.622,0.94,"","BH"
2021,"evenness_all","Plant evenness","2",-0.00383259058758636,-0.0346788753947142,0.0239681873372663,0.764,0.94,"","BH"
2021,"evenness_all","Plant evenness","4",-0.000880113716948352,-0.0231338575281156,0.0217130997273662,0.94,0.94,"","BH"
2021,"evenness_all","Plant evenness","6",-0.00484540868771905,-0.0303277635843692,0.0211953040472413,0.67,0.94,"","BH"
2021,"evenness_all","Plant evenness","8",-0.00182830062787404,-0.0277892484072641,0.0231879621093943,0.888,0.94,"","BH"
2021,"evenness_all","Plant evenness","10",-0.0107315394654053,-0.0376158560150041,0.0168126633212477,0.426,0.94,"","BH"
2022,"richness_all","Plant richness","W",-1.00401785714286,-2.41116071428572,0.464732142857142,0.194,0.258666666666667,"","BH"
2022,"richness_all","Plant richness","N",-0.224875,-1.66071428571429,1.60803571428571,0.734,0.782933333333333,"","BH"
2022,"richness_all","Plant richness","D",-2.30328571428571,-3.58973214285714,-1.10714285714286,0,0,"***","BH"
2022,"richness_all","Plant richness","HM",-0.877410714285714,-2.35758928571429,0.929017857142857,0.286,0.352,"","BH"
2022,"richness_all","Plant richness","MP",0.937214285714286,-0.357589285714286,2.25044642857143,0.178,0.258666666666667,"","BH"
2022,"richness_all","Plant richness","S",0.400125,-0.875,1.82232142857143,0.612,0.699428571428572,"","BH"
2022,"richness_all","Plant richness","A",-0.943321428571429,-2.25,0.393749999999999,0.156,0.258666666666667,"","BH"
2022,"richness_all","Plant richness","I",-1.2045,-2.42901785714286,0.125,0.072,0.22,"","BH"
2022,"richness_all","Plant richness","AF",-1.10846428571429,-2.44642857142857,0.232142857142858,0.1,0.22,"","BH"
2022,"richness_all","Plant richness","SF",-0.824571428571429,-1.89330357142857,0.160714285714286,0.11,0.22,"","BH"
2022,"richness_all","Plant richness","1",-0.717183928571429,-1.6321875,0.173303571428571,0.104,0.22,"","BH"
2022,"richness_all","Plant richness","2",-0.149333333333333,-1.23839285714286,0.892857142857142,0.806,0.806,"","BH"
2022,"richness_all","Plant richness","4",-0.885738095238095,-2.14315476190476,0.44077380952381,0.168,0.258666666666667,"","BH"
2022,"richness_all","Plant richness","6",-2.78040476190476,-4.22619047619048,-1.49970238095238,0,0,"***","BH"
2022,"richness_all","Plant richness","8",-3.03882142857143,-4.17886904761905,-2.10654761904762,0,0,"***","BH"
2022,"richness_all","Plant richness","10",-3.8707619047619,-5.06011904761905,-2.65446428571429,0,0,"***","BH"
