"Response","Response_label","Year","Model","AIC","DeltaAIC","R2","Adj_R2","ANOVA_F_added_factor_number","ANOVA_p_added_factor_number","Factor_identity_effect","n"
"biomass","Plant biomass","2022","Factor_identity_effect",1514.48644453012,19.9269586093023,0.237710465985302,0.232063876844453,23.2584441018165,3.79045634381444e-06,"dominative model",137
"biomass","Plant biomass","2022","Factor_identity_effect+Factor_number",1494.55948592082,0,0.350452701338982,0.340757965538072,23.2584441018165,3.79045634381444e-06,"dominative model",137
"biomass","Plant biomass","2023","Factor_identity_effect",1712.73003803394,0,0.368608007397779,0.36403270310356,1.43853243411819e-07,0.999697930150658,"dominative model",140
"biomass","Plant biomass","2023","Factor_identity_effect+Factor_number",1714.73003788693,1.99999985299678,0.368608008060756,0.359390606718577,1.43853243411819e-07,0.999697930150658,"dominative model",140
"biomass","Plant biomass","2024","Factor_identity_effect",1845.54642250236,0,0.353636326748829,0.348952532015125,0.457801710176047,0.4997939111876,"dominative model",140
"biomass","Plant biomass","2024","Factor_identity_effect+Factor_number",1847.07937584917,1.53295334680547,0.355789033916619,0.346384494265766,0.457801710176047,0.4997939111876,"dominative model",140
"biomass","Plant biomass","2025","Factor_identity_effect",1606.02757413825,0.505988216051719,0.177476429166701,0.171516113436025,2.4743678903381,0.118022558070489,"dominative model",140
"biomass","Plant biomass","2025","Factor_identity_effect+Factor_number",1605.52158592219,0,0.192068543427555,0.180273923623577,2.4743678903381,0.118022558070489,"dominative model",140
"evenness_all","Plant evenness","2022","Factor_identity_effect",-367.438179735631,49.9801690692657,0.00362762314647178,-0.00359246654087264,61.5950541550648,1.08349045531512e-12,"dominative model",140
"evenness_all","Plant evenness","2022","Factor_identity_effect+Factor_number",-417.418348804897,0,0.312656520024157,0.302622308637649,61.5950541550648,1.08349045531512e-12,"dominative model",140
"evenness_all","Plant evenness","2023","Factor_identity_effect",-325.665037534421,0.919125906818238,0.18619250228557,0.180295346505031,2.88656233980336,0.0915910448309006,"dominative model",140
"evenness_all","Plant evenness","2023","Factor_identity_effect+Factor_number",-326.584163441239,0,0.202985438186345,0.191350189108773,2.88656233980336,0.0915910448309006,"dominative model",140
"evenness_all","Plant evenness","2024","Factor_identity_effect",-209.191893038109,0.0298597692979286,0.0126132042450699,0.00545822746423696,2.00083275838357,0.159481529593,"dominative model",140
"evenness_all","Plant evenness","2024","Factor_identity_effect+Factor_number",-209.221752807407,0,0.0268260388514347,0.0126191197105798,2.00083275838357,0.159481529593,"dominative model",140
"evenness_all","Plant evenness","2025","Factor_identity_effect",-150.236381330582,19.2160542335411,0.0350897687267371,0.0280466283524796,22.426120737428,5.41964954009607e-06,"dominative model",139
"evenness_all","Plant evenness","2025","Factor_identity_effect+Factor_number",-169.452435564123,0,0.171678313889552,0.159497112623222,22.426120737428,5.41964954009607e-06,"dominative model",139
"richness_all","Plant richness","2022","Factor_identity_effect",554.747124222947,0,0.331940568053806,0.327099557677384,0.070289384216551,0.7913143956617,"multiplicative model",140
"richness_all","Plant richness","2022","Factor_identity_effect+Factor_number",556.67531407506,1.92818985211295,0.332283147662432,0.322535456387431,0.070289384216551,0.7913143956617,"multiplicative model",140
"richness_all","Plant richness","2023","Factor_identity_effect",597.20699255124,45.0270828727248,0.105449057509089,0.0989668043026326,54.6917591056495,1.2724610416308e-11,"multiplicative model",140
"richness_all","Plant richness","2023","Factor_identity_effect+Factor_number",552.179909678515,0,0.360674242372044,0.35134101963295,54.6917591056495,1.2724610416308e-11,"multiplicative model",140
"richness_all","Plant richness","2024","Factor_identity_effect",607.646322920499,2.19751082165294,0.407144296525909,0.402848240703633,4.16976115279875,0.0430703710863431,"multiplicative model",140
"richness_all","Plant richness","2024","Factor_identity_effect+Factor_number",605.448812098846,0,0.424655601081321,0.416256412775939,4.16976115279875,0.0430703710863431,"multiplicative model",140
"richness_all","Plant richness","2025","Factor_identity_effect",686.759482987159,45.2895903353834,0.149521905416595,0.143359020673237,55.05152856009,1.11659007340619e-11,"multiplicative model",140
"richness_all","Plant richness","2025","Factor_identity_effect+Factor_number",641.469892651776,0,0.393311264786572,0.384454494929441,55.05152856009,1.11659007340619e-11,"multiplicative model",140
"shannon_all","Shannon diversity","2022","Factor_identity_effect",-67.9444498998397,1.76123801343239,0.0464718786397672,0.0395622545719394,3.73052782713284,0.055491280339782,"multiplicative model",140
"shannon_all","Shannon diversity","2022","Factor_identity_effect+Factor_number",-69.7056879132721,0,0.0717482933993108,0.0581971735949212,3.73052782713284,0.055491280339782,"multiplicative model",140
"shannon_all","Shannon diversity","2023","Factor_identity_effect",-21.4007119169685,0,0.466454204965827,0.462587931088767,0.0100222803631382,0.920402283338255,"multiplicative model",140
"shannon_all","Shannon diversity","2023","Factor_identity_effect+Factor_number",-19.4109532887241,1.98975862824442,0.46649323382996,0.458704813885872,0.0100222803631382,0.920402283338255,"multiplicative model",140
"shannon_all","Shannon diversity","2024","Factor_identity_effect",90.7284149297815,0,0.24704325002241,0.241587041689239,0.14975559860115,0.699369489952957,"multiplicative model",140
"shannon_all","Shannon diversity","2024","Factor_identity_effect+Factor_number",92.5754635923364,1.84704866255498,0.247865413272512,0.236885346312987,0.14975559860115,0.699369489952957,"multiplicative model",140
"shannon_all","Shannon diversity","2025","Factor_identity_effect",153.983083943766,38.7292142022412,0.129779057934464,0.123473109078917,46.2596288766087,2.93893904195166e-10,"multiplicative model",140
"shannon_all","Shannon diversity","2025","Factor_identity_effect+Factor_number",115.253869741525,0,0.349446084804356,0.339948947356244,46.2596288766087,2.93893904195166e-10,"multiplicative model",140
