"NMDS1","NMDS2","SampleNo","time","year","Lv","remark"
-0.161834474854095,-0.146191798818355,1,"0","2021","1","N"
0.21216309641408,-0.099539155032375,2,"0","2021","1","I"
-0.130441149216408,0.151336339128535,3,"0","2021","1","AF"
-0.185949362371578,-0.0186649740137698,4,"0","2021","1","AF"
-0.170688999778705,-0.0297275620816505,5,"0","2021","10","10"
-0.111143096683359,-0.0108440083114975,6,"0","2021","1","N"
-0.244252694680349,0.0905871803478186,7,"0","2021","1","W"
-0.428337873413759,-0.0372343840023997,8,"0","2021","1","D"
-0.358519414864764,-0.00449766810673205,9,"0","2021","1","W"
-0.423326445045916,0.0734025903349857,10,"0","2021","10","10"
0.3157476434926,0.214710486874052,11,"0","2021","2","2"
0.162213069878182,0.0285485939183472,12,"0","2021","1","MP"
-0.264121206765837,0.0401214295237934,13,"0","2021","2","2"
-0.123063879800896,0.151579987432777,14,"0","2021","8","8"
-0.0404444293411403,0.0724957484547518,15,"0","2021","4","4"
0.131618357931755,-0.0283991175922793,16,"0","2021","4","4"
-0.303691668025235,0.0343853620086666,17,"0","2021","1","MP"
-0.322690774279028,0.0581792691159356,18,"0","2021","2","2"
-0.176191520972836,-0.110833690938372,19,"0","2021","1","W"
-0.24986232594003,-0.111746067359042,20,"0","2021","6","6"
-0.304856632312892,-0.0217260570101201,21,"0","2021","1","I"
-0.168170553684873,-0.0687496701764124,22,"0","2021","1","S"
0.34053736994775,0.112751430250339,23,"0","2021","0","CT"
0.269144661151772,0.14305222546541,24,"0","2021","8","8"
-0.146903648003291,0.0485110023054915,25,"0","2021","1","N"
0.0856204952802206,0.0611909634287662,26,"0","2021","0","CT"
-0.163737365453428,-0.0386494499499275,27,"0","2021","0","CT"
-0.0720217696403802,0.0288797314750955,28,"0","2021","1","I"
-0.263149119159449,0.0240088431066521,29,"0","2021","1","W"
-0.182133489554212,0.102729498355841,30,"0","2021","1","HM"
-0.0383275809347118,-0.119753441498945,31,"0","2021","1","S"
-0.218440898988967,-0.0482642054728035,32,"0","2021","6","6"
-0.362203843308508,-0.0807859014123462,33,"0","2021","6","6"
0.352186827217686,0.0142255754696575,34,"0","2021","10","10"
0.277947994406254,0.0597865132800506,35,"0","2021","8","8"
0.392330690748429,-0.0106948353765889,36,"0","2021","1","HM"
0.274385653671997,0.109495691985817,37,"0","2021","4","4"
0.25559603451191,-0.00630475950532016,38,"0","2021","6","6"
0.129682721325347,-0.0263384401675979,39,"0","2021","1","I"
-0.213740326478962,0.0044665782860276,40,"0","2021","0","CT"
-0.44448070459982,0.0149362689369825,41,"0","2021","0","CT"
-0.10320358329765,-0.230994102891383,42,"0","2021","1","MP"
