"year","response","null_model","n_deviation","SSD","mean_squared_deviation","root_mean_squared_deviation","mean_abs_deviation","SSD_rank","best_model_by_SSD"
"2021","biomass","additive",60,10.6432934171942,0.177388223619903,0.421174813610575,0.376725118465335,2,FALSE
"2021","biomass","dominative",60,4.09765975456754,0.0682943292427924,0.261331837407524,0.218348199562928,1,TRUE
"2021","biomass","multiplicative",60,17.738637618536,0.295643960308933,0.543731514912399,0.49291128401936,3,FALSE
"2021","evenness_all","additive",60,0.303259830543994,0.00505433050906656,0.071093814843955,0.0568673731545501,3,FALSE
"2021","evenness_all","dominative",60,0.150057788388887,0.00250096313981478,0.0500096304706881,0.0398320099638416,1,TRUE
"2021","evenness_all","multiplicative",60,0.269405723854185,0.00449009539756976,0.0670081741101021,0.0536549276595139,2,FALSE
"2021","richness_all","additive",60,0.659644002350844,0.0109940667058474,0.104852595131677,0.0848828978585036,2,FALSE
"2021","richness_all","dominative",60,0.551497322653065,0.00919162204421776,0.0958729474054999,0.0757424616811166,1,TRUE
"2021","richness_all","multiplicative",60,0.672645383580866,0.0112107563930144,0.105880859427068,0.087190571099473,3,FALSE
"2021","shannon_all","additive",60,0.234558794987366,0.00390931324978944,0.0625245011958467,0.0488783998276923,3,FALSE
"2021","shannon_all","dominative",60,0.15387214660128,0.002564535776688,0.050641245805055,0.0404741162216677,1,TRUE
"2021","shannon_all","multiplicative",60,0.232720081392759,0.00387866802321265,0.0622789532925262,0.0478539203886083,2,FALSE
"2022","biomass","additive",59,735.388559527705,12.4642128733509,3.5304692143327,1.7585086533966,3,FALSE
"2022","biomass","dominative",59,28.0020738536343,0.474611421248038,0.688920475271303,0.577109740679416,1,TRUE
"2022","biomass","multiplicative",59,66.4196712387661,1.1257571396401,1.06101703079644,0.650298495070629,2,FALSE
"2022","evenness_all","additive",60,0.969398080803856,0.0161566346800643,0.127108751390549,0.102648584836682,3,FALSE
"2022","evenness_all","dominative",60,0.732270334350723,0.0122045055725121,0.11047400405757,0.0890197432646567,1,TRUE
"2022","evenness_all","multiplicative",60,0.86913039046224,0.014485506507704,0.120355749790793,0.0971171319146941,2,FALSE
"2022","richness_all","additive",60,15.9723013973523,0.266205023289205,0.515950601597871,0.411307270519976,3,FALSE
