"year","response","null_model","row_id","treatment","Lv","deviation","squared_deviation","P","actual_ES","null_ES","selected_factors","interaction_type"
"2021","richness_all","additive",95,"4",4,-0.118686746404532,0.0140865437720938,0.09,-1.21428571428571,0.536428571428571,"W+N+HM+AF","additive"
"2021","richness_all","additive",97,"6",6,-0.131648317568615,0.017331279518647,0.18,-1.21428571428571,0.756607142857142,"N+D+A+I+AF+SF","additive"
"2021","richness_all","additive",99,"6",6,-0.0845933796485492,0.00715603988036358,0.26,-0.214285714285714,1.07946428571429,"W+D+HM+MP+I+AF","additive"
"2021","richness_all","additive",101,"10",10,-0.0104841559665449,0.00010991752633084,0.44,0.785714285714286,0.944642857142858,"W+N+D+HM+MP+S+A+I+AF+SF","additive"
"2021","richness_all","additive",102,"4",4,-0.0314546628539802,0.000989395815257564,0.33,0.785714285714286,1.27285714285714,"W+S+A+SF","additive"
"2021","richness_all","additive",104,"6",6,0.0693728346564095,0.00481259018826553,0.32,-0.214285714285714,-1.1225,"N+D+HM+MP+A+AF","additive"
"2021","richness_all","additive",106,"10",10,-0.16903514479106,0.0285728801745347,0.23,-1.21428571428571,1.43017857142857,"W+N+D+HM+MP+S+A+I+AF+SF","additive"
"2021","richness_all","additive",107,"10",10,-0.196095320126328,0.038453374575447,0.21,-2.21428571428571,0.712857142857144,"W+N+D+HM+MP+S+A+I+AF+SF","additive"
"2021","richness_all","additive",112,"2",2,-0.00521080056845089,2.71524425641682e-05,0.43,0.785714285714286,0.864285714285714,"S+I","additive"
"2021","richness_all","additive",114,"4",4,0.00213464906113792,4.55672661421701e-06,0.49,-0.214285714285714,-0.244107142857143,"N+D+MP+S","additive"
"2021","richness_all","additive",115,"8",8,-0.0435416287119694,0.001895873430891,0.39,0.785714285714286,1.46857142857143,"W+N+D+HM+S+I+AF+SF","additive"
"2021","richness_all","additive",116,"8",8,-0.075798656135801,0.0057454362719934,0.36,-0.214285714285714,0.933928571428572,"W+N+D+HM+MP+I+AF+SF","additive"
"2021","richness_all","additive",121,"6",6,-0.0786442908851595,0.00618492448882958,0.22,0.785714285714286,2.06607142857143,"W+N+A+I+AF+SF","additive"
"2021","richness_all","additive",124,"6",6,-0.181535071447041,0.0329549821652825,0.05,-1.21428571428571,1.66910714285714,"W+MP+A+I+AF+SF","additive"
"2021","richness_all","additive",126,"8",8,0.000559837051683662,3.13417524437855e-07,0.5,0.785714285714286,0.77732142857143,"N+D+MP+S+A+I+AF+SF","additive"
"2021","richness_all","additive",128,"2",2,-0.0888952855337096,0.00790237179011976,0.02,-1.21428571428571,0.0541071428571431,"D+SF","Synergistic"
"2021","richness_all","additive",129,"4",4,-0.0346848566186882,0.00120303927865896,0.34,-0.214285714285714,0.28875,"W+HM+A+AF","additive"
"2021","richness_all","additive",130,"10",10,-0.213372664700098,0.0455278940412206,0.17,-2.21428571428571,1.04071428571429,"W+N+D+HM+MP+S+A+I+AF+SF","additive"
"2021","richness_all","additive",138,"6",6,-0.114031885116222,0.0130032708231593,0.22,-1.21428571428571,0.45892857142857,"N+D+MP+A+AF+SF","additive"
"2021","richness_all","additive",140,"8",8,-0.165735567970205,0.0274682784904064,0.17,-2.21428571428571,0.169642857142858,"W+N+D+HM+MP+S+A+SF","additive"
"2021","richness_all","additive",142,"8",8,-0.0785468307417462,0.00616960461957253,0.33,-0.214285714285714,0.979107142857142,"W+N+D+HM+S+A+I+AF","additive"
"2021","richness_all","additive",143,"10",10,-0.0873320760867034,0.00762689151361375,0.28,-0.214285714285714,1.12535714285714,"W+N+D+HM+MP+S+A+I+AF+SF","additive"
"2021","richness_all","additive",147,"4",4,-0.063954534934554,0.00409018253869508,0.26,-1.21428571428571,-0.326071428571428,"HM+A+AF+SF","additive"
"2021","richness_all","additive",149,"4",4,-0.180272491836505,0.0324981713129427,0,-1.21428571428571,1.64464285714286,"W+MP+S+I","Synergistic"
